# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
143        	-3.092e+00	-1.324e+00	-3.492e+00	-4.838e+00	1.345e+00
144        	-3.082e+00	-1.325e+00	-3.483e+00	-4.823e+00	1.340e+00
145        	-3.071e+00	-1.326e+00	-3.474e+00	-4.808e+00	1.334e+00
146        	-3.061e+00	-1.327e+00	-3.464e+00	-4.793e+00	1.328e+00
147        	-3.050e+00	-1.328e+00	-3.455e+00	-4.777e+00	1.322e+00
148        	-3.038e+00	-1.329e+00	-3.445e+00	-4.760e+00	1.316e+00
149        	-3.025e+00	-1.330e+00	-3.435e+00	-4.743e+00	1.308e+00
150        	-3.012e+00	-1.329e+00	-3.425e+00	-4.724e+00	1.300e+00
151        	-2.997e+00	-1.328e+00	-3.415e+00	-4.705e+00	1.290e+00
152        	-2.982e+00	-1.327e+00	-3.405e+00	-4.685e+00	1.280e+00
153        	-2.967e+00	-1.325e+00	-3.396e+00	-4.665e+00	1.269e+00
154        	-2.951e+00	-1.322e+00	-3.388e+00	-4.645e+00	1.258e+00
155        	-2.937e+00	-1.320e+00	-3.380e+00	-4.627e+00	1.247e+00
156        	-2.922e+00	-1.318e+00	-3.373e+00	-4.609e+00	1.236e+00
157        	-2.909e+00	-1.315e+00	-3.367e+00	-4.593e+00	1.226e+00
158        	-2.897e+00	-1.312e+00	-3.361e+00	-4.578e+00	1.217e+00
159        	-2.888e+00	-1.310e+00	-3.357e+00	-4.566e+00	1.210e+00
160        	-2.882e+00	-1.307e+00	-3.354e+00	-4.559e+00	1.205e+00
161        	-2.879e+00	-1.304e+00	-3.354e+00	-4.556e+00	1.202e+00
162        	-2.881e+00	-1.302e+00	-3.356e+00	-4.559e+00	1.203e+00
163        	-2.885e+00	-1.299e+00	-3.361e+00	-4.566e+00	1.205e+00
164        	-2.893e+00	-1.297e+00	-3.368e+00	-4.577e+00	1.209e+00
