# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
42         	((-1.036e+01 1.772e+01 -1.470e+00) (-8.470e-02 7.924e-03 8.386e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.478e+00 -3.025e+00 -6.968e+00) (3.921e-03 -5.051e-03 2.030e-02) (0.000e+00 0.000e+00 0.000e+00))
43         	((-1.041e+01 1.752e+01 -1.251e+00) (-8.510e-02 8.522e-03 8.489e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.450e+00 -3.049e+00 -6.874e+00) (4.035e-03 -5.199e-03 1.991e-02) (0.000e+00 0.000e+00 0.000e+00))
44         	((-1.051e+01 1.735e+01 -1.065e+00) (-8.542e-02 9.109e-03 8.710e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.426e+00 -3.074e+00 -6.783e+00) (4.157e-03 -5.265e-03 1.950e-02) (0.000e+00 0.000e+00 0.000e+00))
45         	((-1.067e+01 1.717e+01 -9.246e-01) (-8.574e-02 9.640e-03 8.930e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.404e+00 -3.109e+00 -6.692e+00) (4.268e-03 -5.328e-03 1.913e-02) (0.000e+00 0.000e+00 0.000e+00))
46         	((-1.092e+01 1.698e+01 -8.319e-01) (-8.622e-02 1.011e-02 9.113e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.383e+00 -3.152e+00 -6.607e+00) (4.350e-03 -5.482e-03 1.886e-02) (0.000e+00 0.000e+00 0.000e+00))
47         	((-1.123e+01 1.682e+01 -7.865e-01) (-8.668e-02 1.051e-02 9.266e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.369e+00 -3.200e+00 -6.535e+00) (4.401e-03 -5.610e-03 1.867e-02) (0.000e+00 0.000e+00 0.000e+00))
48         	((-1.155e+01 1.669e+01 -7.799e-01) (-8.721e-02 1.090e-02 9.333e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.361e+00 -3.240e+00 -6.474e+00) (4.395e-03 -5.779e-03 1.855e-02) (0.000e+00 0.000e+00 0.000e+00))
49         	((-1.181e+01 1.662e+01 -8.057e-01) (-8.779e-02 1.121e-02 9.309e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.362e+00 -3.263e+00 -6.418e+00) (4.348e-03 -6.009e-03 1.851e-02) (0.000e+00 0.000e+00 0.000e+00))
50         	((-1.199e+01 1.659e+01 -8.361e-01) (-8.843e-02 1.148e-02 9.246e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.368e+00 -3.260e+00 -6.367e+00) (4.273e-03 -6.245e-03 1.852e-02) (0.000e+00 0.000e+00 0.000e+00))
51         	((-1.208e+01 1.658e+01 -8.448e-01) (-8.911e-02 1.181e-02 9.202e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.373e+00 -3.228e+00 -6.332e+00) (4.179e-03 -6.471e-03 1.847e-02) (0.000e+00 0.000e+00 0.000e+00))
52         	((-1.207e+01 1.657e+01 -8.349e-01) (-8.996e-02 1.222e-02 9.215e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.376e+00 -3.176e+00 -6.313e+00) (4.059e-03 -6.633e-03 1.840e-02) (0.000e+00 0.000e+00 0.000e+00))
53         	((-1.199e+01 1.654e+01 -8.166e-01) (-9.083e-02 1.266e-02 9.194e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.371e+00 -3.115e+00 -6.304e+00) (3.923e-03 -6.827e-03 1.829e-02) (0.000e+00 0.000e+00 0.000e+00))
54         	((-1.187e+01 1.646e+01 -7.943e-01) (-9.178e-02 1.307e-02 9.006e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.361e+00 -3.055e+00 -6.291e+00) (3.747e-03 -7.170e-03 1.822e-02) (0.000e+00 0.000e+00 0.000e+00))
55         	((-1.173e+01 1.632e+01 -7.614e-01) (-9.284e-02 1.326e-02 8.759e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.348e+00 -2.996e+00 -6.266e+00) (3.592e-03 -7.587e-03 1.834e-02) (0.000e+00 0.000e+00 0.000e+00))
56         	((-1.158e+01 1.616e+01 -7.018e-01) (-9.396e-02 1.327e-02 8.555e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.336e+00 -2.938e+00 -6.234e+00) (3.471e-03 -7.997e-03 1.864e-02) (0.000e+00 0.000e+00 0.000e+00))
57         	((-1.143e+01 1.600e+01 -6.141e-01) (-9.522e-02 1.308e-02 8.458e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.328e+00 -2.881e+00 -6.210e+00) (3.414e-03 -8.347e-03 1.914e-02) (0.000e+00 0.000e+00 0.000e+00))
58         	((-1.129e+01 1.587e+01 -5.140e-01) (-9.664e-02 1.276e-02 8.536e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.324e+00 -2.836e+00 -6.211e+00) (3.418e-03 -8.546e-03 1.976e-02) (0.000e+00 0.000e+00 0.000e+00))
59         	((-1.117e+01 1.582e+01 -4.072e-01) (-9.818e-02 1.249e-02 8.857e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.325e+00 -2.806e+00 -6.248e+00) (3.482e-03 -8.553e-03 2.039e-02) (0.000e+00 0.000e+00 0.000e+00))
60         	((-1.113e+01 1.590e+01 -3.962e-01) (-9.966e-02 1.224e-02 9.203e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.341e+00 -2.812e+00 -6.294e+00) (3.561e-03 -8.495e-03 2.102e-02) (0.000e+00 0.000e+00 0.000e+00))
61         	((-1.115e+01 1.610e+01 -4.839e-01) (-1.012e-01 1.212e-02 9.506e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.367e+00 -2.853e+00 -6.356e+00) (3.627e-03 -8.434e-03 2.160e-02) (0.000e+00 0.000e+00 0.000e+00))
62         	((-1.120e+01 1.627e+01 -5.835e-01) (-1.026e-01 1.202e-02 9.701e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.384e+00 -2.890e+00 -6.386e+00) (3.693e-03 -8.398e-03 2.215e-02) (0.000e+00 0.000e+00 0.000e+00))
63         	((-1.133e+01 1.649e+01 -9.129e-01) (-1.041e-01 1.209e-02 9.719e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.414e+00 -2.959e+00 -6.366e+00) (3.713e-03 -8.504e-03 2.263e-02) (0.000e+00 0.000e+00 0.000e+00))
64         	((-1.143e+01 1.655e+01 -1.075e+00) (-1.056e-01 1.209e-02 9.874e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.424e+00 -2.982e+00 -6.332e+00) (3.804e-03 -8.481e-03 2.316e-02) (0.000e+00 0.000e+00 0.000e+00))
65         	((-1.153e+01 1.652e+01 -1.342e+00) (-1.073e-01 1.213e-02 9.942e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.436e+00 -3.001e+00 -6.248e+00) (3.880e-03 -8.569e-03 2.373e-02) (0.000e+00 0.000e+00 0.000e+00))
66         	((-1.159e+01 1.636e+01 -1.591e+00) (-1.091e-01 1.213e-02 1.007e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.441e+00 -2.991e+00 -6.145e+00) (3.987e-03 -8.620e-03 2.437e-02) (0.000e+00 0.000e+00 0.000e+00))
67         	((-1.160e+01 1.606e+01 -1.749e+00) (-1.111e-01 1.213e-02 1.030e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.433e+00 -2.958e+00 -6.049e+00) (4.115e-03 -8.607e-03 2.510e-02) (0.000e+00 0.000e+00 0.000e+00))
68         	((-1.155e+01 1.565e+01 -1.780e+00) (-1.133e-01 1.214e-02 1.060e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.412e+00 -2.906e+00 -5.972e+00) (4.252e-03 -8.516e-03 2.586e-02) (0.000e+00 0.000e+00 0.000e+00))
