# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
42         	((-1.840e+01 1.510e-01 -1.076e+02) (-2.211e-01 4.383e-03 5.346e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.735e+01 6.994e+01 9.125e+00) (2.419e-02 2.826e-03 9.620e-02) (0.000e+00 0.000e+00 0.000e+00))
43         	((-1.841e+01 2.286e-01 -1.077e+02) (-2.214e-01 4.414e-03 5.362e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.732e+01 7.002e+01 9.174e+00) (2.427e-02 2.843e-03 9.639e-02) (0.000e+00 0.000e+00 0.000e+00))
44         	((-1.843e+01 3.143e-01 -1.077e+02) (-2.218e-01 4.446e-03 5.381e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.727e+01 7.007e+01 9.230e+00) (2.436e-02 2.854e-03 9.659e-02) (0.000e+00 0.000e+00 0.000e+00))
45         	((-1.847e+01 4.004e-01 -1.078e+02) (-2.221e-01 4.471e-03 5.399e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.722e+01 7.013e+01 9.288e+00) (2.445e-02 2.865e-03 9.680e-02) (0.000e+00 0.000e+00 0.000e+00))
46         	((-1.851e+01 4.809e-01 -1.079e+02) (-2.226e-01 4.479e-03 5.418e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.717e+01 7.021e+01 9.340e+00) (2.454e-02 2.873e-03 9.703e-02) (0.000e+00 0.000e+00 0.000e+00))
47         	((-1.855e+01 5.404e-01 -1.080e+02) (-2.230e-01 4.463e-03 5.438e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.712e+01 7.030e+01 9.380e+00) (2.464e-02 2.881e-03 9.726e-02) (0.000e+00 0.000e+00 0.000e+00))
48         	((-1.858e+01 5.587e-01 -1.081e+02) (-2.236e-01 4.437e-03 5.459e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.707e+01 7.040e+01 9.395e+00) (2.474e-02 2.890e-03 9.752e-02) (0.000e+00 0.000e+00 0.000e+00))
49         	((-1.860e+01 5.341e-01 -1.083e+02) (-2.241e-01 4.408e-03 5.479e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.703e+01 7.052e+01 9.385e+00) (2.484e-02 2.908e-03 9.782e-02) (0.000e+00 0.000e+00 0.000e+00))
50         	((-1.857e+01 4.770e-01 -1.084e+02) (-2.247e-01 4.368e-03 5.500e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.698e+01 7.063e+01 9.337e+00) (2.494e-02 2.930e-03 9.814e-02) (0.000e+00 0.000e+00 0.000e+00))
51         	((-1.850e+01 4.056e-01 -1.085e+02) (-2.254e-01 4.375e-03 5.519e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.690e+01 7.070e+01 9.258e+00) (2.504e-02 2.967e-03 9.852e-02) (0.000e+00 0.000e+00 0.000e+00))
52         	((-1.838e+01 3.297e-01 -1.084e+02) (-2.262e-01 4.328e-03 5.544e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.680e+01 7.073e+01 9.157e+00) (2.517e-02 2.990e-03 9.892e-02) (0.000e+00 0.000e+00 0.000e+00))
53         	((-1.824e+01 2.588e-01 -1.083e+02) (-2.269e-01 4.298e-03 5.570e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.667e+01 7.073e+01 9.045e+00) (2.531e-02 3.015e-03 9.935e-02) (0.000e+00 0.000e+00 0.000e+00))
