# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
47         	((-3.312e+00 -2.207e+00 -8.081e+01) (-1.637e-01 -1.870e-02 1.220e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.569e+01 -7.312e+01 3.696e+00) (7.531e-04 4.103e-02 7.166e-02) (0.000e+00 0.000e+00 0.000e+00))
48         	((-3.344e+00 -2.215e+00 -8.077e+01) (-1.641e-01 -1.837e-02 1.222e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.569e+01 -7.330e+01 3.711e+00) (8.096e-04 4.113e-02 7.167e-02) (0.000e+00 0.000e+00 0.000e+00))
49         	((-3.372e+00 -2.222e+00 -8.104e+01) (-1.645e-01 -1.802e-02 1.223e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.579e+01 -7.363e+01 3.725e+00) (8.711e-04 4.124e-02 7.167e-02) (0.000e+00 0.000e+00 0.000e+00))
50         	((-3.387e+00 -2.232e+00 -8.152e+01) (-1.649e-01 -1.766e-02 1.224e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.596e+01 -7.404e+01 3.738e+00) (9.339e-04 4.136e-02 7.168e-02) (0.000e+00 0.000e+00 0.000e+00))
51         	((-3.387e+00 -2.243e+00 -8.211e+01) (-1.654e-01 -1.730e-02 1.226e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.618e+01 -7.446e+01 3.749e+00) (9.996e-04 4.150e-02 7.167e-02) (0.000e+00 0.000e+00 0.000e+00))
52         	((-3.382e+00 -2.254e+00 -8.274e+01) (-1.658e-01 -1.695e-02 1.227e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.640e+01 -7.491e+01 3.760e+00) (1.059e-03 4.163e-02 7.166e-02) (0.000e+00 0.000e+00 0.000e+00))
53         	((-3.383e+00 -2.263e+00 -8.343e+01) (-1.662e-01 -1.659e-02 1.227e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.663e+01 -7.542e+01 3.773e+00) (1.116e-03 4.175e-02 7.165e-02) (0.000e+00 0.000e+00 0.000e+00))
54         	((-3.399e+00 -2.271e+00 -8.417e+01) (-1.666e-01 -1.627e-02 1.228e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.685e+01 -7.603e+01 3.793e+00) (1.169e-03 4.189e-02 7.164e-02) (0.000e+00 0.000e+00 0.000e+00))
55         	((-3.431e+00 -2.278e+00 -8.491e+01) (-1.671e-01 -1.596e-02 1.230e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.704e+01 -7.671e+01 3.821e+00) (1.227e-03 4.203e-02 7.166e-02) (0.000e+00 0.000e+00 0.000e+00))
56         	((-3.476e+00 -2.285e+00 -8.560e+01) (-1.677e-01 -1.569e-02 1.231e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.721e+01 -7.741e+01 3.855e+00) (1.273e-03 4.217e-02 7.171e-02) (0.000e+00 0.000e+00 0.000e+00))
57         	((-3.524e+00 -2.291e+00 -8.619e+01) (-1.683e-01 -1.543e-02 1.232e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.733e+01 -7.804e+01 3.890e+00) (1.325e-03 4.232e-02 7.178e-02) (0.000e+00 0.000e+00 0.000e+00))
58         	((-3.567e+00 -2.297e+00 -8.669e+01) (-1.689e-01 -1.522e-02 1.234e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.741e+01 -7.859e+01 3.924e+00) (1.367e-03 4.248e-02 7.191e-02) (0.000e+00 0.000e+00 0.000e+00))
59         	((-3.621e+00 -2.300e+00 -8.720e+01) (-1.696e-01 -1.506e-02 1.235e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.748e+01 -7.921e+01 3.958e+00) (1.403e-03 4.263e-02 7.208e-02) (0.000e+00 0.000e+00 0.000e+00))
60         	((-3.629e+00 -2.306e+00 -8.735e+01) (-1.704e-01 -1.491e-02 1.238e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.749e+01 -7.937e+01 3.978e+00) (1.440e-03 4.280e-02 7.230e-02) (0.000e+00 0.000e+00 0.000e+00))
61         	((-3.643e+00 -2.306e+00 -8.756e+01) (-1.712e-01 -1.477e-02 1.237e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.751e+01 -7.960e+01 3.996e+00) (1.459e-03 4.295e-02 7.254e-02) (0.000e+00 0.000e+00 0.000e+00))
62         	((-3.639e+00 -2.309e+00 -8.772e+01) (-1.720e-01 -1.463e-02 1.236e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.754e+01 -7.970e+01 4.006e+00) (1.479e-03 4.311e-02 7.278e-02) (0.000e+00 0.000e+00 0.000e+00))
63         	((-3.641e+00 -2.305e+00 -8.826e+01) (-1.729e-01 -1.449e-02 1.231e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.767e+01 -8.010e+01 4.013e+00) (1.485e-03 4.325e-02 7.305e-02) (0.000e+00 0.000e+00 0.000e+00))
64         	((-3.633e+00 -2.306e+00 -8.862e+01) (-1.739e-01 -1.434e-02 1.227e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.776e+01 -8.033e+01 4.014e+00) (1.494e-03 4.341e-02 7.335e-02) (0.000e+00 0.000e+00 0.000e+00))
