# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
43         	((-2.206e+01 6.829e+00 4.799e+01) (-3.870e-01 -2.668e-01 -8.745e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.118e+01 3.798e+01 8.513e-01) (-4.988e+00 -1.439e+01 5.830e-01) (0.000e+00 0.000e+00 0.000e+00))
44         	((-2.196e+01 6.680e+00 4.810e+01) (-4.410e-01 -2.870e-01 -9.484e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.125e+01 3.799e+01 7.837e-01) (-5.403e+00 -1.562e+01 6.470e-01) (0.000e+00 0.000e+00 0.000e+00))
45         	((-2.196e+01 6.814e+00 4.827e+01) (-4.977e-01 -3.042e-01 -1.027e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.130e+01 3.800e+01 4.888e-01) (-5.843e+00 -1.692e+01 7.070e-01) (0.000e+00 0.000e+00 0.000e+00))
46         	((-2.209e+01 7.186e+00 4.858e+01) (-5.481e-01 -3.152e-01 -1.108e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.138e+01 3.811e+01 3.142e-02) (-6.295e+00 -1.827e+01 7.525e-01) (0.000e+00 0.000e+00 0.000e+00))
47         	((-2.230e+01 7.723e+00 4.905e+01) (-5.907e-01 -3.209e-01 -1.192e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.150e+01 3.837e+01 -4.892e-01) (-6.759e+00 -1.965e+01 7.841e-01) (0.000e+00 0.000e+00 0.000e+00))
48         	((-2.256e+01 8.301e+00 4.958e+01) (-6.280e-01 -3.231e-01 -1.276e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.164e+01 3.872e+01 -9.743e-01) (-7.227e+00 -2.105e+01 8.071e-01) (0.000e+00 0.000e+00 0.000e+00))
49         	((-2.292e+01 8.843e+00 5.007e+01) (-6.563e-01 -3.219e-01 -1.361e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.180e+01 3.908e+01 -1.375e+00) (-7.693e+00 -2.243e+01 8.192e-01) (0.000e+00 0.000e+00 0.000e+00))
50         	((-2.341e+01 9.320e+00 5.047e+01) (-6.808e-01 -3.183e-01 -1.445e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.195e+01 3.935e+01 -1.700e+00) (-8.154e+00 -2.380e+01 8.252e-01) (0.000e+00 0.000e+00 0.000e+00))
51         	((-2.402e+01 9.763e+00 5.078e+01) (-7.019e-01 -3.108e-01 -1.526e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.208e+01 3.960e+01 -1.965e+00) (-8.601e+00 -2.512e+01 8.231e-01) (0.000e+00 0.000e+00 0.000e+00))
52         	((-2.468e+01 1.019e+01 5.099e+01) (-7.206e-01 -3.001e-01 -1.607e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.219e+01 3.982e+01 -2.200e+00) (-9.046e+00 -2.642e+01 8.145e-01) (0.000e+00 0.000e+00 0.000e+00))
