# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
65         	((-4.737e+01 -1.518e+01 -1.213e+02) (-2.753e-01 1.140e-02 1.205e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.945e+01 -2.312e+02 3.476e+01) (2.235e-02 5.012e-02 6.901e-02) (0.000e+00 0.000e+00 0.000e+00))
66         	((-4.758e+01 -1.479e+01 -1.218e+02) (-2.760e-01 1.142e-02 1.208e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.972e+01 -2.320e+02 3.404e+01) (2.249e-02 4.953e-02 6.923e-02) (0.000e+00 0.000e+00 0.000e+00))
67         	((-4.781e+01 -1.433e+01 -1.221e+02) (-2.766e-01 1.141e-02 1.212e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.999e+01 -2.328e+02 3.322e+01) (2.271e-02 4.923e-02 6.946e-02) (0.000e+00 0.000e+00 0.000e+00))
68         	((-4.805e+01 -1.383e+01 -1.224e+02) (-2.774e-01 1.129e-02 1.218e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.025e+01 -2.335e+02 3.234e+01) (2.304e-02 4.922e-02 6.993e-02) (0.000e+00 0.000e+00 0.000e+00))
69         	((-4.829e+01 -1.328e+01 -1.227e+02) (-2.784e-01 1.101e-02 1.227e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.050e+01 -2.342e+02 3.140e+01) (2.354e-02 4.956e-02 7.073e-02) (0.000e+00 0.000e+00 0.000e+00))
70         	((-4.853e+01 -1.265e+01 -1.229e+02) (-2.790e-01 1.066e-02 1.238e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.075e+01 -2.347e+02 3.035e+01) (2.416e-02 5.040e-02 7.150e-02) (0.000e+00 0.000e+00 0.000e+00))
71         	((-4.876e+01 -1.204e+01 -1.230e+02) (-2.790e-01 1.034e-02 1.250e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.097e+01 -2.350e+02 2.935e+01) (2.483e-02 5.172e-02 7.191e-02) (0.000e+00 0.000e+00 0.000e+00))
72         	((-4.898e+01 -1.151e+01 -1.230e+02) (-2.783e-01 1.006e-02 1.263e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.112e+01 -2.352e+02 2.848e+01) (2.549e-02 5.336e-02 7.196e-02) (0.000e+00 0.000e+00 0.000e+00))
73         	((-4.919e+01 -1.111e+01 -1.229e+02) (-2.779e-01 9.758e-03 1.275e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.119e+01 -2.353e+02 2.787e+01) (2.612e-02 5.474e-02 7.217e-02) (0.000e+00 0.000e+00 0.000e+00))
74         	((-4.939e+01 -1.085e+01 -1.227e+02) (-2.786e-01 9.534e-03 1.287e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.118e+01 -2.351e+02 2.747e+01) (2.667e-02 5.561e-02 7.264e-02) (0.000e+00 0.000e+00 0.000e+00))
